gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
ADA,6.210945599079999,0.8978546578253974,14.341236842414146,6.093629213721103e-14,7,18,2.5376382710981374e-10
FN1,7.80310570696,1.6886793191031746,14.29925607685634,6.526297595518649e-14,7,18,2.5376382710981374e-10
FXYD5,8.104240271840002,1.1439821250238102,14.205238536920623,7.614355130414373e-14,7,18,2.5376382710981374e-10
CALHM2,7.212899122919998,1.2113156786825385,14.145115288500419,8.406951370210824e-14,7,18,2.5376382710981374e-10
ENTPD1,5.933149768680002,0.950468637746031,13.492888093629043,2.5146318679083504e-13,7,18,5.271927860202097e-10
CD247,6.51414299616,1.224351071007935,13.468950595587946,2.619808444692114e-13,7,18,5.271927860202097e-10
TGFBI,8.59911205284,2.3961423212539694,13.315141471084344,3.4133815887300197e-13,7,18,5.887595614618038e-10
PDK4,8.549526066600002,-1.743458397857144,-13.217014422321718,4.045958800087437e-13,7,18,6.106363319031964e-10
CD52,6.56374133532,2.140349014039682,12.906219884308848,6.976145156962829e-13,7,18,9.358886291685466e-10
IGFBP6,7.916902104999999,1.910375893055555,12.566097952388548,1.2805696179981765e-12,7,18,1.5461597567709982e-09
TAGLN,8.84180145508,2.1235769598095207,12.193479427669857,2.525860699525393e-12,7,18,2.6315037977604187e-09
MCAM,7.411707612200001,1.140512304285715,12.174591642128114,2.6153756479315077e-12,7,18,2.6315037977604187e-09
EMP3,9.387043890600001,1.1975163330952387,11.125239936579732,1.9266437101093636e-11,7,18,1.7894073966046504e-08
SYT11,6.327181199920001,1.1696251249126988,10.991677705743616,2.5067720518549344e-11,7,18,2.1514064432863774e-08
HN1,7.63171968728,0.9813233609206353,10.959301766861861,2.672775935836977e-11,7,18,2.1514064432863774e-08
CD36,5.226647462679998,2.1266880948888884,10.813222145621252,3.5750685689940344e-11,7,18,2.6978361188771233e-08
CX3CR1,7.825789784519999,2.6314378558253972,10.779811225195983,3.822364267938441e-11,7,18,2.714778010064043e-08
ADRB2,5.75425042436,1.1513565987063492,10.625004353675543,5.2201731631366594e-11,7,18,3.4257251152265333e-08
CD248,7.6931114031200005,1.133052934753966,10.6091080489709,5.3908213673433935e-11,7,18,3.4257251152265333e-08
CD300A,6.488745259000001,1.1713211430555548,10.557961354298424,5.979907198317419e-11,7,18,3.610069975624226e-08
TNF,6.2459576833999995,0.7528879395238093,10.486467231131204,6.916466171335792e-11,7,18,3.9043657985038115e-08
CD48,7.580584435919999,2.146400280269842,10.472656660577643,7.114133474166295e-11,7,18,3.9043657985038115e-08
GZMA,6.238167237080001,1.943426389373018,10.230652701197023,1.1701013417987338e-10,7,18,6.142523304729527e-08
AOAH,6.068764010919999,1.307475819555556,10.174269377023434,1.3153020870556438e-10,7,18,6.617065582962435e-08
MICB,7.9155470153600005,1.1260763748968232,10.092885340016217,1.5583253275849935e-10,7,18,7.526088002104484e-08
CBR3,6.55987431108,1.0718048338174606,10.059118727111432,1.672301789373618e-10,7,18,7.765912232652718e-08
GPR18,4.66906636896,1.1986357575952375,10.035999390281777,1.7552562535231599e-10,7,18,7.849245927792086e-08
ENO2,7.09224584564,1.228604530857143,9.998149614757462,1.9003176315502746e-10,7,18,8.194441101192149e-08
ANKS1B,5.8230506626,-1.9544514456746054,-9.879264456852225,2.441500548785328e-10,7,18,9.770427194065565e-08
SOX17,6.581919339719999,1.2139744347142853,9.867823412828873,2.501332132349296e-10,7,18,9.770427194065565e-08
XYLT1,7.440100346720002,-0.9722628131031756,-9.86646083910834,2.508557586682396e-10,7,18,9.770427194065565e-08
PYCARD,7.155716478240001,1.7752674230793648,9.82377084692529,2.7461490125791776e-10,7,18,1.036156349308781e-07
CDR2L,7.524678278720001,0.7775634791587303,9.788158910565008,2.9620020646375193e-10,7,18,1.0837337251040427e-07
KLF9,7.14742797204,-0.9778317952936506,-9.770377549390771,3.0762357645594176e-10,7,18,1.0903084185891504e-07
FCER1G,8.183825603879997,1.5560859856825404,9.757679698003207,3.1605760022047595e-10,7,18,1.0903084185891504e-07
TRIM38,8.353877645720003,0.6061715874920619,9.715714304786262,3.456620310519041e-10,7,18,1.1593120452557471e-07
PHLDA2,5.663233136400001,1.8483368319841267,9.689534900040474,3.65560596141236e-10,7,18,1.1929131453538605e-07
CSF1R,7.755455378959999,1.5785279429126993,9.5242057115952,5.216187147302045e-10,7,18,1.6573748320138126e-07
MICALL2,7.2663707014800005,1.33025101302381,9.46546489257855,5.923493663461845e-10,7,18,1.8197481562144613e-07
LPAR6,9.82869112276,1.3245606668015881,9.457352388674165,6.028650509241217e-10,7,18,1.8197481562144613e-07
IL2RB,7.256109782559999,0.7767484184682534,9.431832818330697,6.37212616737963e-10,7,18,1.8765134474376014e-07
TRDC,5.812993887680001,0.7212423730634923,9.40927660767756,6.692445532511966e-10,7,18,1.9217870856650674e-07
CYBB,6.249227326319999,1.5594541031269848,9.39897494778041,6.844197836971833e-10,7,18,1.9217870856650674e-07
C1orf21,8.603546552160001,-1.4554005401031755,-9.38005510681401,7.13217961996167e-10,7,18,1.9571349257140275e-07
FBXO21,10.759903470719998,-1.0193788367142869,-9.268918420720727,9.094434711019733e-10,7,18,2.4401378822411613e-07
PLAC8,6.0878071701600005,1.8648371321190496,9.240236278825662,9.685691621935567e-10,7,18,2.525627354631376e-07
ADCY1,6.71751050396,-0.8744001660158727,-9.23344347741791,9.831413422865222e-10,7,18,2.525627354631376e-07
CD44,6.620641839680001,1.1547128700873017,9.213524678768442,1.0271839957251693e-09,7,18,2.5837957425803525e-07
SH3BGRL3,9.18427865964,0.7282671354206354,9.153200163899962,1.173344769807833e-09,7,18,2.8912172960530156e-07
CASP1,6.897681548680001,1.2251488579841263,9.127414824744928,1.2421826768719204e-09,7,18,2.999622728110314e-07
DOCK2,6.126692192559999,1.4570159192619068,9.092071510195543,1.343336285257235e-09,7,18,3.171631061257098e-07
CD14,8.401397121280002,1.6730974156825376,9.084544387384376,1.365950100922388e-09,7,18,3.171631061257098e-07
ACTA2,10.479585328120002,1.941896629595238,9.060948674565415,1.4394052431403134e-09,7,18,3.230699355986166e-07
ZNF189,9.622592392559998,-1.2726580678412702,-9.059232213680843,1.4449044659868558e-09,7,18,3.230699355986166e-07
PPP1R3C,9.392839788240002,1.5533754266507938,8.988890752443488,1.6898569361655948e-09,7,18,3.679295855441324e-07
ITGB2,7.05350546648,1.6245576199682539,8.98450312561415,1.7064814303852423e-09,7,18,3.679295855441324e-07
BTK,6.198491580119999,0.8773333226507924,8.869820978331258,2.2060745509779204e-09,7,18,4.6730077418434053e-07
SRPX2,5.31546483288,1.7943650444126966,8.858700971976527,2.26190079110104e-09,7,18,4.6857253533939356e-07
LST1,7.280650809560002,1.3827457099365068,8.853269189994858,2.2896951784846962e-09,7,18,4.6857253533939356e-07
CTSS,6.989690567319999,1.432248300746032,8.822126844666524,2.4559570112667543e-09,7,18,4.942204159005798e-07
GMPPB,8.23908572012,0.6927445956666656,8.811785962206073,2.5138639541817275e-09,7,18,4.975802193900029e-07
NT5DC2,6.627881114040001,1.053778421373015,8.79644002528913,2.6023921290844375e-09,7,18,5.067948801058951e-07
RIT1,7.51807144556,0.7777327827539686,8.765643239701106,2.789833286751607e-09,7,18,5.338722925687408e-07
NEDD9,9.70671777328,-0.8508522015793663,-8.755178613333078,2.856632510973926e-09,7,18,5.338722925687408e-07
CFD,6.848861805680001,1.6740806611587313,8.750522487877463,2.8868794622517163e-09,7,18,5.338722925687408e-07
ARPC1B,9.94657240616,1.0152899716031758,8.745738188755933,2.9183014170562274e-09,7,18,5.338722925687408e-07
LAMC1,9.959040204679999,0.6634315252460308,8.72691259251018,3.0453884547922087e-09,7,18,5.488062716889721e-07
ADAM12,5.27707114188,0.830812624769842,8.711374026301288,3.154555915772379e-09,7,18,5.601192371622898e-07
ADGRE5,7.6375428427999985,1.4311877538492048,8.670473086798895,3.461512010399759e-09,7,18,6.057144349792274e-07
IL10RA,6.8523135214,1.9283710901190485,8.647567775691803,3.6466335540011352e-09,7,18,6.289921933001387e-07
COL15A1,7.106027477280001,2.198907176198415,8.619000669649429,3.891827109633154e-09,7,18,6.617059891832821e-07
UCP2,8.18012106728,1.4345934660793658,8.612606121895112,3.948990543418934e-09,7,18,6.617059891832821e-07
NFKBIE,7.08154710376,1.2308370858492053,8.599154766302549,4.072065229598921e-09,7,18,6.617059891832821e-07
CCDC91,10.340211780439999,-1.0582000281904733,-8.596212844538972,4.099502877463824e-09,7,18,6.617059891832821e-07
ANO1,4.9280178684000004,0.7442704135317477,8.594324153591515,4.117217488719533e-09,7,18,6.617059891832821e-07
MAN2B1,8.34392574464,1.042007389785713,8.589258367207371,4.165119693384913e-09,7,18,6.617059891832821e-07
CKLF,8.739460171000003,0.8886200660714287,8.576713335419383,4.286221374282368e-09,7,18,6.682244650103183e-07
MTHFD2,10.181092626600003,-0.8986060490476202,-8.570035189510016,4.352154582801222e-09,7,18,6.682244650103183e-07
FCN1,7.299096338600001,2.302187291626984,8.568027149741706,4.372182601939303e-09,7,18,6.682244650103183e-07
MRAS,6.94845306188,0.7027955989761896,8.505799815536541,5.042024714153913e-09,7,18,7.609675799836793e-07
RNF125,5.49016296124,0.7390277478809537,8.494535563736282,5.1741022738612656e-09,7,18,7.712606278345793e-07
CCR1,6.401311835439999,1.3232466182380938,8.486026786860583,5.276218659137797e-09,7,18,7.768910254930458e-07
NDC80,4.682553564559999,0.87306545715873,8.457471245485648,5.634278590119727e-09,7,18,8.196178276759709e-07
NRAS,7.3751945224799975,0.6102820094523818,8.443183387301344,5.822691450022661e-09,7,18,8.369425781854001e-07
RAB32,8.476145180960001,0.7400891417222226,8.427647282408614,6.03490740234532e-09,7,18,8.572408467754989e-07
CEBPA,6.85681816648,1.1296407503253958,8.401576507895857,6.409004965360142e-09,7,18,8.997944878111437e-07
PMP22,9.8020555438,1.057363647499999,8.386696483826714,6.633095674098517e-09,7,18,9.10263961144693e-07
ADAMTS1,8.522368263439999,1.6452450521666666,8.386614183860818,6.634357179123156e-09,7,18,9.10263961144693e-07
HOMER3,6.606274989319998,0.7339480400317457,8.37328388387484,6.841965969526839e-09,7,18,9.282010911917647e-07
ALOX5,5.79511436432,1.450238404515873,8.332932826422244,7.511920100987175e-09,7,18,1.0077658144368795e-06
COL5A2,6.095398959360001,1.6328727276746031,8.297617589518264,8.153324099866535e-09,7,18,1.0817937932064675e-06
HTR2B,6.38029651996,2.752459875055555,8.272615461654938,8.641124876113063e-09,7,18,1.134053714719447e-06
TRAF3IP3,5.828300532799999,1.1571475036507923,8.257498850086252,8.95046224828314e-09,7,18,1.1620202278039853e-06
ACTN1,7.01287936928,1.3093760033809518,8.233565713343225,9.463602824625984e-09,7,18,1.2155695798354696e-06
