gene,g,var_g,logFC,n_dn,n_ctrl
A1BG,1.7015571993374154,0.18421484121428328,0.8126214893869435,27,9
A1BG-AS1,1.264728870274472,0.16515957963617672,0.7242882607048147,27,9
A1CF,-1.3322222461938873,0.16773718254717884,-1.0128958431555422,27,9
A2M,1.3392471091187668,0.16801316351819484,0.7967578152219126,27,9
A2M-AS1,1.0286246924736868,0.15719678026354206,0.4371561145369105,27,9
A4GALT,0.597523605136803,0.1468874523330876,0.16578643289724937,27,9
A4GNT,0.11646975046364677,0.14183643386363734,0.1020102219941057,27,9
AAAS,0.3246201888299667,0.1431866259845629,0.049486882200120874,27,9
AACS,-0.10526436534376693,0.14179989539066912,-0.02115439459242907,27,9
AACSP1,-0.6247008989798105,0.14737593401677143,-0.5548833477064194,27,9
AADAT,-0.9594054334935964,0.15517310420251926,-0.48596700518504754,27,9
AAED1,-0.2649734151612191,0.1426694589808305,-0.08617169766889532,27,9
AAGAB,0.34915053064957735,0.14342968225010522,0.05781059894894902,27,9
AAK1,0.3449528517599913,0.14338683485134743,0.03831968483995496,27,9
AAMDC,0.551766586079685,0.14611409802159273,0.15159634164342606,27,9
AAMP,0.04850517169708306,0.14167154487699468,0.011976659079504515,27,9
AANAT,-0.08879722724263915,0.1417529006988273,-0.05723662529621887,27,9
AAR2,2.0979146020039514,0.20636114672434813,0.2731449036484914,27,9
AARD,-0.6286960992168901,0.14744957478124715,-0.5362040640079231,27,9
AARS,-0.4558338098219265,0.14469259944310361,-0.07943050041047606,27,9
AARS2,0.18866433394680557,0.14216039015967452,0.033059993382844155,27,9
AASDH,-1.5351341810319816,0.17629337137833834,-0.2960815585099308,27,9
AASDHPPT,-2.0746591386551017,0.2049341594346971,-0.5545144702310747,27,9
AASS,-1.4518878682525886,0.17263662767549,-0.5917113919245889,27,9
AATBC,0.08024979875556736,0.141731651914038,0.039848889938940424,27,9
AATF,0.0569163050018305,0.1416845847901373,0.00832506261270538,27,9
AATK,-0.752345796972028,0.14996083085552572,-0.7702484955681825,27,9
ABALON,-0.17646278271647584,0.14209487372997523,-0.05198081933748089,27,9
ABAT,-1.27687078902322,0.16561340164433902,-0.7460102216632762,27,9
ABCA1,1.6830301034035935,0.1832926857193674,0.7187509439430784,27,9
ABCA10,0.29377803916076806,0.14290614465069734,0.10997260615387816,27,9
ABCA11P,0.8628678904533386,0.152586077887201,0.14033717618445252,27,9
ABCA12,0.4782069370083421,0.14499991433172316,0.4010531819845191,27,9
ABCA13,1.744032687045873,0.1863670928446871,2.6114469397026303,27,9
ABCA2,-0.089401571321552,0.1417544844251329,-0.04420279544839545,27,9
ABCA3,0.790787794543669,0.15083320052872815,0.29026160434370674,27,9
ABCA4,0.5941979695815167,0.14682916951483926,0.4649190898115947,27,9
ABCA5,-2.808852388118378,0.25766123585577333,-1.0768964955296614,27,9
ABCA6,0.659800739700214,0.14803896053034155,0.2723116268089285,27,9
ABCA7,0.4154930793683241,0.1441756882199595,0.26159391608260485,27,9
ABCA8,0.9611063969287124,0.15522114420840538,0.4139972450754996,27,9
ABCA9,0.7134286266812188,0.14912195154886065,0.2906109419669676,27,9
ABCB1,-1.3944621049746575,0.17023289503183273,-0.4064179963373693,27,9
ABCB10,-0.9808928383874466,0.15578622147579493,-0.1574158070406,27,9
ABCB4,0.13621397750601807,0.14190980217091595,0.06685935590450498,27,9
ABCB6,-0.17630608086974972,0.14209406079567538,-0.04387497689772779,27,9
ABCB7,-1.794229941666909,0.18897902034600464,-0.3313810886343376,27,9
ABCB8,-0.7338210457748019,0.14955596510553382,-0.16703759398328621,27,9
ABCB9,0.09492963227613267,0.141769469632917,0.02592833187820709,27,9
ABCC1,1.3194995807548404,0.16724105064068343,0.5834872091147947,27,9
ABCC10,0.9525592288210015,0.15498060859362256,0.2927508064623847,27,9
ABCC11,-0.8637665100913218,0.15260889535161198,-1.24200913557095,27,9
ABCC2,-1.3010686083913539,0.1665307621131719,-0.8188267766926938,27,9
ABCC3,1.3047861804637473,0.16667322465710954,0.9021009124311021,27,9
ABCC4,-0.4189186824470677,0.1442177229773156,-0.1096336935964839,27,9
