gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
RNU11,10.378373379463802,7.617240990183801,7.282286361182559,6.594417479969722e-08,18,9,0.0016830272292378725
MALAT1,16.36392588268976,-3.6976315293407804,-6.358205084935189,7.277618062584568e-07,18,9,0.008826532754659385
RNU6-36P,6.971026235445867,5.213499360647344,6.224547270645622,1.0375205024676027e-06,18,9,0.008826532754659385
FABP1,3.386186810525977,-4.927110523234519,-5.782622493236667,3.387260000224041e-06,18,9,0.01785268832044133
AHNAK,11.508157481176879,-4.553643600132668,-5.759631166146923,3.6037411191700216e-06,18,9,0.01785268832044133
MMP11,3.8222747206694265,4.162853194944598,5.605489435476195,5.4638979858939655e-06,18,9,0.01785268832044133
C3orf36,2.7764563994084255,-3.9887570672454236,-5.584484197081241,5.783355984457948e-06,18,9,0.01785268832044133
MIR4449,7.045544768198828,5.015606512207205,5.570856803813652,6.000606544889986e-06,18,9,0.01785268832044133
ALS2CL,9.877206743994547,-4.8075171922105575,-5.553132567713786,6.295517392209545e-06,18,9,0.01785268832044133
COL4A3,8.750636759339963,-4.555905033348671,-5.450135285836665,8.322363648970563e-06,18,9,0.01996156386831554
LINC00654,2.6618642919379285,-3.8155082331943597,-5.413648342585445,9.188358405083107e-06,18,9,0.01996156386831554
RNVU1-19,5.726404446114283,5.114486327774425,5.393723251035415,9.698959600588848e-06,18,9,0.01996156386831554
TUSC8,1.9394669645489118,-4.2466220351213195,-5.344223925690862,1.1094379132257662e-05,18,9,0.01996156386831554
SYNE1,12.164728137625524,-4.017281101032685,-5.34023552656402,1.121523853836355e-05,18,9,0.01996156386831554
RNVU1-8,5.316165075964436,5.350748225354578,5.323656460648085,1.1731974689473124e-05,18,9,0.01996156386831554
ARHGEF35,1.2169004275853315,-2.5528372526037693,-5.156753736178684,1.8471900085715792e-05,18,9,0.027023162962264854
MRPL40,2.102717942713871,-3.4073332398902556,-5.146435215145605,1.8998068073767333e-05,18,9,0.027023162962264854
UBQLNL,2.268217014887421,-3.4498173080981314,-5.145264041774816,1.9058731028946296e-05,18,9,0.027023162962264854
WIPF3,5.30853072489136,-4.636795809942461,-5.0600207050615,2.4037791586787388e-05,18,9,0.031735503221622094
LINC01550,2.0160217041138058,-3.028144775502705,-5.047536709866456,2.4869135037710288e-05,18,9,0.031735503221622094
AKAP12,9.727410596641194,-2.8037501904083477,-5.0200231502594415,2.6804411621487688e-05,18,9,0.03257629492398137
LINC00612,1.7532815912533541,-3.4808149497676335,-4.9719948944045695,3.055093478964616e-05,18,9,0.034008578566791466
LINC00936,5.868079458344745,4.003243700716965,4.968594867161564,3.083521514119882e-05,18,9,0.034008578566791466
TBC1D10A,4.003813073341117,-4.627163188751275,-4.955207786246654,3.19804829403258e-05,18,9,0.034008578566791466
MIR143HG,4.317351930390773,-5.121878656673159,-4.910360476725241,3.6136298295999807e-05,18,9,0.03574293893143468
RNVU1-1,4.766536441334032,3.7265390318591676,4.907566728087381,3.641236628075001e-05,18,9,0.03574293893143468
RPPH1,15.756034204670254,4.0930425109914115,4.874152751206038,3.9882232809685696e-05,18,9,0.03758972511484436
SNORD3A,12.892152061974034,3.741025126349909,4.84810871952561,4.281431527418784e-05,18,9,0.03758972511484436
LINC01013,0.8135476986468446,-2.016160685959261,-4.826734689655561,4.538079788487588e-05,18,9,0.03758972511484436
TRIM5,4.110316140285274,-4.95067897797916,-4.819702073417184,4.6258386668056545e-05,18,9,0.03758972511484436
C8orf37-AS1,2.194425830518872,-3.5159640689642098,-4.815137577304025,4.683703001913508e-05,18,9,0.03758972511484436
NFASC,9.99343605855457,-2.7918523259264205,-4.81284206912938,4.713075792159782e-05,18,9,0.03758972511484436
NPTN-IT1,2.8696375194111936,-3.5617453620309005,-4.786507342281402,5.0634947851818826e-05,18,9,0.03889812236205189
RNU5A-1,8.71668972410204,5.059636125651249,4.778015359375264,5.181945616761085e-05,18,9,0.03889812236205189
LAMA5,10.282303829760671,-2.9101089606155224,-4.712732598404217,6.189793305852655e-05,18,9,0.04479807825933622
PTH1R,8.45959988461074,-2.6482557109595213,-4.704234444168164,6.334619885159261e-05,18,9,0.04479807825933622
SNORA61,9.734354352622686,4.995367858490206,4.69507443277201,6.494510209213384e-05,18,9,0.04479807825933622
REP15,2.9580014020040455,-3.6760849109282043,-4.682779331245609,6.71546406242251e-05,18,9,0.04510317731609139
MACF1,11.088479554099033,-2.8168697918449705,-4.60533456085023,8.289946990091728e-05,18,9,0.05425026335413362
SCARNA11,6.12606521906662,4.241343206299496,4.572651853605974,9.060022610809982e-05,18,9,0.056923497873046056
C5orf64,3.4305182268536845,-4.267057521718291,-4.559306429386939,9.39456341541836e-05,18,9,0.056923497873046056
PLBD1-AS1,1.4353918901001945,-2.9902139176685463,-4.53549925023683,0.00010022143625840283,18,9,0.056923497873046056
MTRNR2L8,5.7417565322043975,3.4293476751795993,4.530445548933629,0.00010160634538481447,18,9,0.056923497873046056
GNRH1,3.1995905606116946,-3.6364671288809345,-4.527524887620134,0.00010241537534730768,18,9,0.056923497873046056
OR52N4,1.1109029450538477,-2.4899358826426767,-4.527086596079586,0.00010253733437905983,18,9,0.056923497873046056
METTL20,1.5908748336836898,-2.8986738818222118,-4.519063836808469,0.00010479542417741475,18,9,0.056923497873046056
SNORA71D,8.124043682701515,4.72578423462413,4.518951537135303,0.00010482738030064904,18,9,0.056923497873046056
PLCE1,8.68132330849052,-3.4306326793887294,-4.496646392995153,0.00011137037822508763,18,9,0.059216558188764305
VTRNA1-1,5.792611737406177,4.08924707365322,4.454542983635184,0.00012484616865514298,18,9,0.06495070556435184
SNORD3C,6.296908665990521,4.054250720581056,4.447525504260708,0.00012724454502850843,18,9,0.06495070556435184
MEIS2,9.456785423527199,3.0540346141750856,4.438573373676217,0.0001303706160812872,18,9,0.06495866285809045
FMO3,2.9425524916760537,-3.664003204055027,-4.433012999594058,0.0001323505394804758,18,9,0.06495866285809045
CACNA1C-IT2,0.9473588402976995,-2.3449109251107134,-4.410372675546351,0.00014072500949844437,18,9,0.06776573004564711
LINC01000,11.985811898511171,2.837025604304298,4.386515102889864,0.00015011880789627687,18,9,0.07095059657645886
