gene,g,var_g,logFC,n_dn,n_ctrl
A1CF,-1.470727753202887,0.23256879379866527,-0.8180660345238078,7,18
A2M,1.6113926393272504,0.24199370932120504,0.720741221904758,7,18
A4GALT,-1.593433662605444,0.24074250495264327,-0.29650431713492065,7,18
A4GNT,-1.2079617512218603,0.21726730398070376,-0.1594437834682525,7,18
AAAS,0.6326181097448884,0.19424630572770837,0.11900331712698176,7,18
AACS,1.2186051330875687,0.21782875784966868,0.42533502949999935,7,18
AADAC,-0.8285357701066955,0.20046947637051488,-0.1569956674761901,7,18
AAGAB,0.23911644501755,0.18678915358641784,0.05691720661111166,7,18
AAK1,-0.3186504486254795,0.18775353258927407,-0.034761987984126996,7,18
AAMDC,0.9046224087469644,0.2033362194153163,0.29570638004762095,7,18
AAMP,0.9595461627293533,0.205562026719696,0.2371896677380949,7,18
AANAT,-1.0747737734695366,0.21065789249642036,-0.16042623961111158,7,18
AAR2,4.4147863199310624e-05,0.18554618244883528,6.015126981395724e-06,7,18
AARS,1.193029544147817,0.216487910519716,0.2452328215872992,7,18
AASDHPPT,-0.2610533562282225,0.18702767924990019,-0.05435358133333601,7,18
AASS,-2.389185914650899,0.3096376896839922,-0.5802226323968238,7,18
AATF,1.4729691709636827,0.23271222976753975,0.30815957967460506,7,18
AATK,-0.8250228989720402,0.2003431994462091,-0.17246731248412495,7,18
ABAT,-0.7797858649400065,0.1987650083882092,-0.4307360152460298,7,18
ABCA1,0.44525853232219476,0.1898560772022414,0.2810658049603152,7,18
ABCA11P,-1.6489051164307038,0.24465244508019007,-0.29615482148412564,7,18
ABCA12,-0.11536543846372722,0.1858355125019417,-0.008599037222222439,7,18
ABCA2,-0.6855450673239846,0.19576296587020947,-0.12790858889682521,7,18
ABCA3,1.9550364010658727,0.2686367765258693,0.8470634486587318,7,18
ABCA4,-0.459661597367184,0.19013941684329436,-0.09777445655555628,7,18
ABCA5,-1.1317437107312596,0.2133906134234163,-0.3036775154920637,7,18
ABCA6,0.8378284030616856,0.20080610486248443,0.3045786932142853,7,18
ABCA7,2.1981325448298454,0.2905850233769026,0.4815239310476196,7,18
ABCA8,0.611729137192643,0.19368123756495315,0.697978321499999,7,18
ABCB1,1.371187300392716,0.2264191087707751,0.8419453194841289,7,18
ABCB11,-0.3953683900471444,0.18894435988143174,-0.03670971463492023,7,18
ABCB4,1.3608278855791207,0.2258038461927637,0.5376702528571435,7,18
ABCB6,0.8647879263781406,0.20180396844145201,0.2103974502380943,7,18
ABCB7,0.7282424753377109,0.1970752498605084,0.13987001935714094,7,18
ABCB8,0.42748360698651366,0.18951883967259978,0.0697272286587296,7,18
ABCB9,0.6923016436546772,0.1959653468805295,0.0921897496746018,7,18
ABCC1,0.4848480096895316,0.190656564852115,0.15793464668253776,7,18
ABCC10,1.508442784980902,0.23501139187518105,0.5750969809126989,7,18
ABCC2,-0.7953642088556033,0.19929844816143238,-0.44830473600793574,7,18
ABCC3,1.8768695979015728,0.2621253017005348,0.7967607608968246,7,18
ABCC4,0.4757048750834676,0.19046564171468622,0.14920826668253895,7,18
ABCC5,1.528533168215105,0.23633778341371944,0.4082615567380943,7,18
ABCC6,-1.1725901100312748,0.21543678167044664,-0.5913843950634918,7,18
ABCC8,0.35001697477176497,0.18820948420273406,0.12442460581746051,7,18
ABCC9,0.7121618514054696,0.19657171507162294,0.10529135592063543,7,18
ABCD1,-0.6428554155040072,0.19453016252043953,-0.2663234307063487,7,18
ABCD2,-0.5137756107692462,0.19128456019388482,-0.05466887954761823,7,18
ABCD3,0.014821724406395186,0.18555095813503844,0.004743525214285782,7,18
ABCD4,0.49487430468126126,0.1908701080028511,0.07342611126984089,7,18
ABCE1,0.5000790157050645,0.19098268288360729,0.13270747034920571,7,18
