gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
ZNF407,7.2196132786885245,0.09030942682926835,1.3042327145265686,0.1970084573866059,41,20,0.31347095585301216
OTTHUMG00000160529,2.6632865573770483,-0.05393507317073132,-1.3042012863574701,0.19701910432957265,41,20,0.3134717575836822
OTTHUMG00000133699,3.8483981967213103,0.11780914634146189,1.3039874427266287,0.19709155974600936,41,20,0.3135708959562636
OTTHUMG00000014382,3.2895318032786895,0.11784129268292665,1.3039197028840164,0.19711451581767678,41,20,0.3135855286286312
ITK,3.5982962295081964,0.09365021951219532,1.3039004212204772,0.19712105046654,41,20,0.3135855286286312
BMI1,8.810435245901637,0.06926363414634373,1.3038622318704287,0.197133993501222,41,20,0.3135899767940738
ZNF71,4.860969180327869,-0.06461286585365844,-1.303746646603084,0.1971731712417626,41,20,0.3136263188998566
RNF13,9.292798196721309,-0.06406012195121846,-1.3037349515513528,0.19717713561637967,41,20,0.3136263188998566
WFDC12,3.621220163934426,0.08865853658536604,1.303621457300605,0.1972156108664067,41,20,0.3136713732605784
MAGEH1,10.015470000000002,0.11544026829268361,1.303450859990059,0.19727345499718502,41,20,0.3137472275981887
ICAM2,7.262781147540982,-0.15991648780487644,-1.303385049803859,0.19729577254188824,41,20,0.31376657491931537
DNAJC9-AS1,4.227237049180329,0.06464073170731854,1.3033499113785094,0.19730768945698415,41,20,0.3137693806045125
LOC254099,3.672363278688524,0.05324076829268298,1.3033099640330779,0.1973212379343618,41,20,0.31377478046624396
OTTHUMG00000161457,3.2959342622950825,0.08990695121951253,1.3029975856436813,0.19742720774398592,41,20,0.31392713805967715
OTTHUMG00000017937,3.0617214754098376,0.09109528048780557,1.3028600538896273,0.19747387691132692,41,20,0.31395914943828584
GYG2-AS1,4.03484524590164,0.10274668292682998,1.3028549404099241,0.19747561224709703,41,20,0.31395914943828584
OTTHUMG00000165062,3.920836885245903,0.12678386585365997,1.3028484464695735,0.19747781607930234,41,20,0.31395914943828584
NR2E3,2.947133278688524,0.034240012195122294,1.302787982396162,0.19749833650500676,41,20,0.3139651796733416
OR7C2,3.0872126229508203,-0.0700084756097552,-1.3027774029846806,0.19750192713248452,41,20,0.3139651796733416
KLRC2,4.126909836065573,-0.09410985365853719,-1.3027131496240927,0.19752373562388706,41,20,0.31398369763688044
MOCOS,3.767737049180328,0.07310782926829384,1.3024958350013955,0.19759750863304712,41,20,0.31408481223598833
GTSE1-AS1,3.3379252459016384,-0.06805257317073243,-1.3024446656829922,0.19761488237162134,41,20,0.31409627338484664
SPPL2B,5.608437704918031,-0.04791519512195297,-1.3022961852147679,0.19766530306594937,41,20,0.31414189986005536
CAPN14,3.104730655737705,0.030891524390243674,1.3022899385870266,0.1976674244944244,41,20,0.31414189986005536
ANKK1,3.7110559016393445,0.045027524390245155,1.3022703335009749,0.19767408272378245,41,20,0.31414189986005536
CRTAC1,4.958189672131147,0.20205382926829252,1.3022053308065946,0.19769615997602047,41,20,0.3141608301140946
