gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
SULF1,-0.32564790945454547,-2.0747507686153845,-11.696193473368336,3.71874174734266e-11,9,13,4.922498450957479e-07
ZNF415,-0.3290002129090909,-1.5986726431111111,-11.196765578532998,8.779710358960424e-11,9,13,5.810851301077957e-07
CA10,-0.6837071086363639,-2.54676300008547,-10.606810506640214,2.5094026161422263e-10,9,13,1.1072320809958218e-06
MPP5,-0.3788754520454545,-1.658311953803419,-10.135168962944517,5.980363385751333e-10,9,13,1.5006465570266753e-06
TCF7L1,-0.4445923022727273,-2.1805335311965814,-10.007429426063723,7.600758520238732e-10,9,13,1.5006465570266753e-06
NPHS1,-0.7915855999999999,-2.9627307111111114,-9.941250912450805,8.612738875114893e-10,9,13,1.5006465570266753e-06
C1orf21,-0.2490785574090908,-2.129406077205128,-9.931030412677048,8.781031074009222e-10,9,13,1.5006465570266753e-06
ZNF185,-0.559911688181818,-2.3357587858119655,-9.913979296126449,9.069405799058247e-10,9,13,1.5006465570266753e-06
ARHGAP19,-0.5523976813636364,-2.138996193931624,-9.66765691792327,1.452234942034334e-09,9,13,1.8741662968183826e-06
SLC31A2,-0.19902753454545447,-1.4442339641025639,-9.636101956340239,1.543350130889475e-09,9,13,1.8741662968183826e-06
CCDC91,-0.42534024590909086,-1.8673530402564102,-9.631394953138766,1.5574396966837054e-09,9,13,1.8741662968183826e-06
B3GALT2,-0.3445752755,-2.4243608175299145,-9.47901901605357,2.0932793381409682e-09,9,13,2.2658358364773924e-06
PRKAR2B,-0.9710511109090909,-3.016106490940171,-9.44769555248356,2.2252674982402433e-09,9,13,2.2658358364773924e-06
WBP5,-0.145129205,-1.0512910005982905,-9.32665460536654,2.8216508076820685e-09,9,13,2.6678708386633956e-06
TGFBR3,-0.3984462177272727,-2.250365416153846,-9.256450293337515,3.2410393212759895e-09,9,13,2.860109166382018e-06
KLF7,-0.2960212402272728,-2.093725039615385,-9.205382393427874,3.5861855031555627e-09,9,13,2.9668960940793864e-06
FBXL7,-0.10839816363636358,-1.717840337094017,-9.136562917981204,4.112326125770921e-09,9,13,3.202050642754687e-06
RABL3,-0.2761924090909091,-1.11946374,-9.100315831880362,4.42087815475245e-09,9,13,3.2510646741365655e-06
CORO2B,-0.33231539636363644,-2.044962785128205,-8.976751299955822,5.664668443067021e-09,9,13,3.946485062151482e-06
TJP1,-0.24773495772727278,-1.2670164110256412,-8.799363527246658,8.114149565604694e-09,9,13,5.370349889995466e-06
