gene,g,var_g,logFC,n_dn,n_ctrl
A1CF,0.15224727418505185,0.17460375097512898,0.17246375803418812,9,13
A2M,0.167048919933096,0.1747219037039799,0.14290405540170942,9,13
A4GALT,0.7169289689823719,0.1868739488268627,0.19795133224786327,9,13
A4GNT,0.09987177754701791,0.17427362946146957,0.016316010641025645,9,13
AAAS,0.5541520197729415,0.1817013816881703,0.14825020676923079,9,13
AACS,-0.21309317208697767,0.17515948766246178,-0.12542986642735043,9,13
AADAC,0.45091027006769707,0.17910727195402262,0.09378664455555555,9,13
AAGAB,0.39972892391477693,0.17801885047806115,0.2499287347179487,9,13
AAK1,0.3744375234390897,0.17752935663668948,0.2236789108034188,9,13
AAMDC,-0.2557796524932012,0.1756598509284481,-0.04909413703418803,9,13
AAMP,1.3183204715879617,0.21747349180790718,0.6277663655384615,9,13
AANAT,0.77646014982349,0.18909652926930745,0.11311144964957265,9,13
AAR2,-1.4095754254031998,0.2236968421602248,-0.3808391841025641,9,13
AARS,0.422547179251674,0.1784879231300482,0.20434856847863248,9,13
AARSD1,1.1018538000163838,0.20437631507797316,0.33234708311111116,9,13
AASDHPPT,0.23946426565516502,0.17545784852585372,0.14874927501709406,9,13
AASS,-1.5625669851607824,0.23506465974057095,-0.7559717216068376,9,13
AATF,0.16159831642071792,0.1746771205594598,0.08265055211111116,9,13
AATK,-0.09764625236001204,0.1742626399277084,-0.03591150500854702,9,13
ABAT,-0.06858027648240433,0.17414185152076958,-0.028501613803418813,9,13
ABCA1,0.2912422029160425,0.17614482068169426,0.1982788598461539,9,13
ABCA11P,-1.789536617331749,0.2540853027819885,-0.6091563044444444,9,13
ABCA12,0.5044171545147245,0.1803851868069278,0.09021153077777778,9,13
ABCA2,1.123604483846457,0.2055864460657061,0.2782211376068376,9,13
ABCA3,-0.4021058105855659,0.1780664972353764,-0.14130805683760686,9,13
ABCA4,0.5132801261026965,0.1806106823590095,0.15703497942735045,9,13
ABCA5,-0.3441796437003297,0.17698576084115167,-0.14646274115384617,9,13
ABCA6,0.4074381604907317,0.1781744165283113,0.0813384472051282,9,13
ABCA7,1.1791377133788077,0.20878341384051463,0.29674508052136755,9,13
ABCA8,1.4773307415851025,0.22858692316351925,1.6467035340769232,9,13
ABCB1,0.6226636136856507,0.18371701955791137,0.601063649153846,9,13
ABCB11,0.7208262077900006,0.18701403070863235,0.14035084617948718,9,13
ABCB4,0.7774009202888805,0.1891330749343595,0.20928912017094017,9,13
ABCB6,0.99686759887922,0.19886789540509006,0.411154132,9,13
ABCB7,0.23451843998452435,0.1753992426300289,0.1297852541623932,9,13
ABCB8,1.1966204996196612,0.20982178566545973,0.24728648617094012,9,13
ABCB9,0.12733451025995324,0.17442962210028806,0.049763513358974366,9,13
ABCC1,0.23678661082085925,0.17542596763931026,0.06761781722222224,9,13
ABCC10,0.40574426508342937,0.17813998037891185,0.09593723207692309,9,13
ABCC2,0.6685065241476997,0.1851967944834105,0.39329023346153846,9,13
ABCC3,0.5899473780326651,0.18272521788389995,0.4404410981965812,9,13
ABCC4,1.2814870047381426,0.21507949374552793,0.6338177242820514,9,13
ABCC5,0.6768748377919551,0.18547825881360666,0.22143087913675213,9,13
ABCC6,0.02496601580005396,0.17403985271133274,0.027312147820512812,9,13
ABCC8,0.4497430246708451,0.17908098986871152,0.10839849727350427,9,13
ABCC9,1.5402181083533737,0.23333106569520065,0.21751516599145296,9,13
ABCD1,0.9254567018762724,0.1954360228389022,0.23968890697435896,9,13
ABCD1P2,0.34119824064384247,0.17693467614817088,0.09153834639316243,9,13
ABCD2,-0.6046141124690444,0.18316322578762778,-0.057856624692307686,9,13
ABCD3,0.04395403728068145,0.17407256909754132,0.029094601897435943,9,13
ABCD4,0.2537317438038015,0.17563376510805248,0.1417430982564103,9,13
ABCE1,0.7425844600861068,0.1878100621717439,0.2576418430940171,9,13
ABCF1,-0.047091326172006585,0.17407970998772548,-0.024775249846153924,9,13
ABCF2,1.1424170187636584,0.20665218628173065,0.5480629276923077,9,13
ABCF3,1.0228476213304678,0.20017970157424442,0.48791073901709403,9,13
ABCG1,0.030742124307582972,0.1740478971178831,0.03222232805128203,9,13
ABCG2,-0.01955668004685624,0.17403383175607093,-0.007314049957264968,9,13
ABCG4,0.5237814244346103,0.18088294467727828,0.10788244806837607,9,13
ABCG5,0.510641926977576,0.18054314960239384,0.09325579111965814,9,13
ABHD10,-0.8939845044105547,0.19400447751586417,-0.36427681271794865,9,13
ABHD11,1.9277809261243615,0.266932752640932,0.7552319487863248,9,13
ABHD14A,-0.4355407636144063,0.17876666408195502,-0.3580967096581196,9,13
ABHD14A-ACY1,-0.04368914275401536,0.17407198869257404,-0.05642011059829058,9,13
ABHD17A,-0.20385395740132276,0.17506318106141402,-0.23090709326495729,9,13
ABHD17B,0.3592600335945084,0.1772509644561677,0.08150085987179488,9,13
ABHD2,0.5477775344803496,0.1815257758447438,0.4270331004615385,9,13
ABHD3,-1.3135376433542911,0.21715879867542814,-0.35892716470085473,9,13
ABHD4,0.021140747978707655,0.17403544344333702,0.007855635333333326,9,13
ABHD5,0.5692768396458407,0.18212617316663846,0.22977470505128206,9,13
ABHD6,0.6716958221150995,0.18530365209888153,0.4240843888717949,9,13
ABHD8,0.18139637943514927,0.17484688632451403,0.05450769499999999,9,13
ABI1,-0.5758324621825576,0.1823138457752902,-0.36333499100854694,9,13
ABI2,0.4037723645876239,0.17810007322282656,0.11833473257264954,9,13
ABI3BP,0.19705104555549727,0.1749949980265724,0.04781983039316238,9,13
ABL1,-0.019759725453673122,0.17403403133145964,-0.011866304059829053,9,13
ABL2,0.9570915933203832,0.19692487811282328,0.29562192524786324,9,13
ABLIM1,1.112370164036508,0.20495845470867471,0.9393536132820514,9,13
ABLIM3,0.7201618832531808,0.18699009861497873,0.29091787774358974,9,13
ABO,0.44451753676698125,0.17896416617504415,0.17708669063247862,9,13
ABR,-0.07596703430500648,0.17416854492023698,-0.018386154786324813,9,13
ABT1,0.5129657352862661,0.18060261630215402,0.15672811875213677,9,13
ABTB2,0.0892518825175073,0.17422341762603252,0.03170858987179487,9,13
AC002310.7,0.9334172644378566,0.1958059649014758,0.25031042641025647,9,13
AC003989.4,0.6431774139092027,0.18436619980678276,0.1851960038119658,9,13
AC004490.1,-0.10323418351722025,0.17429070257887122,-0.013608332247863255,9,13
AC004692.5,1.3445542946660347,0.2192199264453315,0.620448308008547,9,13
AC004941.5,-0.10642210788344553,0.17430741178886844,-0.035303598461538445,9,13
AC005838.2,0.5279880343279739,0.18099355427254746,0.11922493607692307,9,13
AC007292.3,-0.3961865654369668,0.177948365028528,-0.10290315411965811,9,13
AC007389.3,-0.1492474506440056,0.1745811402008029,-0.06404706186324785,9,13
AC007967.3,0.06914246270106429,0.1741437871664187,0.027573792777777797,9,13
AC009237.8,0.3712980788567034,0.1774708267467765,0.07672087750427348,9,13
AC009947.3,0.4518971998488211,0.17912954714348966,0.06925098364957265,9,13
AC012065.7,0.2541436080038409,0.17563899449993978,0.14446875535042733,9,13
AC068039.4,0.4061224813782457,0.17814765690973014,0.05991532657264957,9,13
AC074212.6,0.3917266591026594,0.1778605145490028,0.10890918686324785,9,13
AC084219.3,0.050247596773564496,0.1740873906872475,0.011097586888888891,9,13
AC104537.2,0.3079243074989161,0.1763947046414267,0.04483069882051281,9,13
AC128677.4,1.5786595386980624,0.236328418640769,0.6645302308461538,9,13
ACAA1,0.18984010109612345,0.1749252517623142,0.1473954501111111,9,13
ACAA2,0.41799245325589696,0.17839221243718162,0.39823539376068384,9,13
ACACA,1.337525788481099,0.21874865103400917,0.4301587812393163,9,13
ACACB,-0.3723633601806711,0.17749063196283554,-0.0966823565042735,9,13
ACAD10,1.552472631462036,0.234278551948676,0.4926930386324786,9,13
ACAD8,0.5917544998951065,0.18277860486636224,0.5711188726495726,9,13
ACADL,-0.024914110016765162,0.17403978798465772,-0.018962789273504276,9,13
ACADM,-0.1752276811267326,0.17479188866853582,-0.15386452005982904,9,13
ACADS,1.6058249734695076,0.23849111629816813,0.4897542620769231,9,13
ACADSB,-0.10071514149358257,0.17427785865586132,-0.08065502847863251,9,13
ACADVL,0.6618214482712909,0.18497446089750727,0.5391374765811966,9,13
ACAN,0.5484305571963908,0.1815436720643781,0.14662851864957263,9,13
ACAP1,1.52232250242363,0.23196091519734308,0.7720197226837608,9,13
ACAP2,-0.3485441030868022,0.17706134495762413,-0.15373342834188033,9,13
ACAT1,-0.25939777985231083,0.17570645036751723,-0.21413147212820513,9,13
ACAT2,0.5057941355047945,0.1804199628504856,0.29456818945299146,9,13
ACBD3,-0.7618727749584622,0.18853552329328221,-0.3078395097179487,9,13
ACBD4,0.8896315304114717,0.19381037666026596,0.28018903035042736,9,13
ACD,-0.5956095917497791,0.182893039807318,-0.18282092194017088,9,13
ACE,-0.5875226307852507,0.18265384120483008,-0.08869981484615384,9,13
ACE2,-0.09679081798369893,0.17425848172385838,-0.1475955683760685,9,13
ACHE,1.1245139335669618,0.2056375598323656,0.2680979526324786,9,13
ACIN1,0.9122956943859885,0.19483135601258986,0.3163742431452991,9,13
