gene,g,var_g,logFC,n_dn,n_ctrl
A1BG,-0.543696806999803,0.16263082653208327,-1.4225947566034494,18,9
A1BG-AS1,-0.05693892227853177,0.15678354299065245,-0.15745370926610303,18,9
A1CF,-0.6072659120849966,0.1640941399328561,-2.1953409505403245,18,9
A2M,-0.8249598762313846,0.17032987812108163,-2.529109378098351,18,9
A2M-AS1,-0.2086682991553528,0.15758955135469538,-0.4809581627941264,18,9
A2ML1,-0.3054320084954507,0.15858447640951892,-1.230991063019002,18,9
A2MP1,-1.112408738689514,0.18146776621150354,-2.2331177393109454,18,9
A3GALT2,0.541546589115638,0.16258415633690326,1.7376098152925046,18,9
A4GALT,-0.6533844613526489,0.16525692725998944,-1.837368411668443,18,9
A4GNT,-0.92401381490727,0.17379473277603738,-1.8337599276689758,18,9
AA06,-0.27903639792470275,0.15827592840058352,-0.6883392824118804,18,9
AAAS,-0.7437861952760451,0.16778306025891196,-2.1633513824193464,18,9
AACS,-0.5841059564599458,0.1635422975406874,-1.7285196484722727,18,9
AACSP1,-0.5016381434840431,0.16175151871320997,-1.3687227120461174,18,9
AADAC,-0.026612903016381844,0.1567328671053868,-0.055399652798966637,18,9
AADACL2,0.0609296628114695,0.15679295064945403,0.09580432850346698,18,9
AADACL2-AS1,0.23277229319467455,0.1578023609828298,0.35713342726020547,18,9
AADACL3,-0.36196513117261386,0.15933907729694377,-1.1409852277147743,18,9
AADACL4,-1.099650390843839,0.18090332181490779,-2.640813910299319,18,9
AADACP1,-0.056769071996455985,0.15678315672395443,-0.12009732365818104,18,9
AADAT,-0.35559034776803883,0.15924759208176353,-0.9671886948977879,18,9
AAED1,0.1063343659212665,0.1569448421207652,0.24602970643272326,18,9
AAGAB,-0.42150146432637375,0.16027197186183317,-1.0240333319415251,18,9
AAK1,-0.7893709344945027,0.16918083161774214,-2.04800987560518,18,9
AAMDC,-1.2085136097784202,0.18592880507364098,-2.7242002677164807,18,9
AAMP,-0.5893080940395112,0.16366438276725725,-1.1254206838494545,18,9
AANAT,-0.019992901281599647,0.15672669649528076,-0.05981325966896467,18,9
AAR2,-0.7376764264525432,0.16760203237612353,-2.0624711396384594,18,9
AARD,-0.23218575310885928,0.15779690665218218,-0.44263315396433345,18,9
AARS,-1.034185735465663,0.17810950488206073,-3.3169963984886097,18,9
AARS2,-0.3617107657756168,0.15933539573480732,-0.9964823754592311,18,9
AARSD1,-0.5713994191406445,0.16324864809713296,-0.4412826171056413,18,9
AASDH,-0.23018169947565364,0.15777837446871765,-0.6986568679527441,18,9
