gene,k,pooled_g,se,z,P.Value,tau2,Q,I2,mean_logFC,n_up,n_down,dir_consistent,studies,adj.P.Val,g_GSE142025,g_GSE162830,g_GSE166239,stouffer_z,stouffer_p,is_IEG
HSPA9,3,-1.1810641173775283,0.2868401106615501,-4.1174998665758284,3.8300475115291954e-05,0.03489660596281833,2.32023097039665,13.801685025431143,-0.9602488928840517,0,3,True,"GSE142025,GSE162830,GSE166239",0.0021010142801807393,-1.6708383961457325,-0.7743471491977003,-1.0853355965434404,-4.6434366716262705,3.4266105648131945e-06,False
CLK4,3,-1.0850707797633512,0.26362146825676475,-4.1160182702059105,3.8547376297652355e-05,0.0,1.478223060072113,0.0,-1.4231177633224619,0,3,True,"GSE142025,GSE162830,GSE166239",0.0021010142801807393,-0.7848598358865397,-1.1978403191793994,-1.671478139964799,-4.061832729379973,4.8688959971547484e-05,False
SLC22A15,3,-1.0738182016954423,0.26090230333511705,-4.115786591259687,3.8586120848131116e-05,0.0,1.521516044548649,0.0,-0.8739844448741355,0,3,True,"GSE142025,GSE162830,GSE166239",0.0021010142801807393,-1.4062032679636431,-0.6993678767167301,-1.1806182230739677,-4.2258354321488465,2.3805592530760846e-05,False
CLPB,3,-1.0703559943446712,0.260550621645145,-4.108053888285996,3.990070187625578e-05,0.0,0.47277230985239893,0.0,-1.315310794633979,0,3,True,"GSE142025,GSE162830,GSE166239",0.0021658250139933977,-0.9105679458899392,-1.3069717295644614,-1.003199768650597,-4.1348835863434505,3.551346120667602e-05,False
ENPP2,3,-1.066920320467189,0.2599059126983814,-4.105025196965569,4.042708134689974e-05,0.0,1.2096704996750456,0.0,-1.1140096689546741,0,3,True,"GSE142025,GSE162830,GSE166239",0.002184895118574741,-1.4133925335765185,-0.7874159112905984,-0.9442606183517,-4.279564168853445,1.872596441858874e-05,False
ZNRF3,3,-1.0680399902620368,0.26020609618887236,-4.104592497659212,4.050281928946518e-05,0.0,1.3295498940606356,0.0,-1.3143583333083795,0,3,True,"GSE142025,GSE162830,GSE166239",0.002184895118574741,-1.0910167915999025,-1.3689512499803904,-0.5603459786245529,-4.156223484377516,3.235513430204332e-05,False
C5orf22,3,-1.0733732731185752,0.26161644588125144,-4.102850910243551,4.080902352040155e-05,0.0,1.5499685726643737,0.0,-0.8604166632436313,0,3,True,"GSE142025,GSE162830,GSE166239",0.002194618598208261,-1.3151466993852106,-0.686373798021843,-1.4118784305244425,-4.18358025876911,2.8695371759558574e-05,False
ACAT1,3,-1.0729486234435723,0.26160911531494574,-4.101342654486148,4.1075977305835884e-05,0.0,1.9114929207417528,0.0,-1.0854479317573489,0,3,True,"GSE142025,GSE162830,GSE166239",0.002199878703378937,-1.3950756066319387,-0.6439911862141305,-1.3371614370895102,-4.292291391053267,1.7683866548692695e-05,False
ANKRD18A,3,-1.0727305165554153,0.2615858567356248,-4.100873533233812,4.1159346722998935e-05,0.0,1.312610867157631,0.0,-0.9717537922729894,0,3,True,"GSE142025,GSE162830,GSE166239",0.002199878703378937,-1.257503574977082,-0.722312576247355,-1.4528735156897543,-4.2223116267612175,2.4180946992213673e-05,False
HOOK1,3,-1.280489146151188,0.31266571606910565,-4.0953935156362755,4.214519068531695e-05,0.07468622074877544,2.6730649468869796,25.17952089682008,-1.165058819716992,0,3,True,"GSE142025,GSE162830,GSE166239",0.0022456813532139527,-1.8527942704504008,-0.9366933680330188,-0.9704379708266284,-5.05826733658143,4.2308303455719743e-07,False
TYW1B,3,-1.0759342494855284,0.26280959142420673,-4.093968730954113,4.240515243152837e-05,0.0,1.530809611856797,0.0,-1.5667611208965957,0,3,True,"GSE142025,GSE162830,GSE166239",0.002252644438923629,-0.7258458350733356,-1.3949758571937092,-1.3426160431125425,-4.0920106028721035,4.2764909312226806e-05,False
